"","Bil.","No..Daftar","No..Lesen","Nama.Pemegang.Lesen","Nama.Premis","Alamat.Premis","Tarikh.Lesen.Dikeluarkan","Tarikh.Kuatkuasa.Lesen","Tarikh.Luput.Lesen","Tarikh.Pembatalan.lesen","Jenis.Perniagaan","latitude","longitude","geo_method"
"43",43,"PA0043/2021",23120,"LAW YIK CHAO","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"44",44,"PA0044/2021",23121,"KHAIRUL AZMAN BIN SALEH","FARMASI SUNGAI DUA JAYA SDN BHD [FARMASI SUNGAI DUA]","30,Lorong Perniagaan, Pusat Perniagaan Sungai Dua,13800,Butterworth,Seberang Perai Utara,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.445063,100.4297844,"osm"
"45",45,"PA0045/2021",23122,"LIM SOOK KEN @ LUM SOOK KEN","FARMASI MY-CHEMIST (KG BARU) SDN BHD","2828, Tingkat Bawah,Jalan Kampung Baru, Taman Tampoi,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.351164,100.4733129,"google"
"46",46,"PA0046/2021",23123,"KHOR BOON KUANG","Medic Care Pharmacy [Medic Care Pharmacy]","87, Ground Floor, Lorong 22/SS 1,Bandar Tasek Mutiara,14120,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.2643379,100.4687416,"google"
"47",47,"PA0047/2021",23124,"NG JUN YI","GR2 PHARMACY SDN BHD [GREEN RIVER PHARMACY]","43-1,Lintang Batu Maung,11960,Batu Maung,Barat Daya,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.2883667,100.2819423,"osm"
"48",48,"PA0048/2021",23125,"ANG SAI YIM","FARMASI ANG & ANG [FARMASI ANG & ANG]","25,Jalan Kendi, Taman Merak Jaya,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.271988,100.46858,"google"
"49",49,"PA0049/2021",23126,"HEANG SEW FOONG","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"50",50,"PA0050/2021",23127,"TEH KEE KEAT","FARMASI JACKSON [FARMASI JACKSON]","A-G-9,Lintang Batu Maung 4,11960,Batu Maung,Barat Daya,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.287628,100.2806024,"google"
"51",51,"PA0051/2021",23128,"CHOI KOK SENG","FARMASI EXCARE [FARMASI EXCARE]","137,Jalan Padang Kelab,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.5167067,100.4265,"google"
"52",52,"PA0052/2021",23129,"LAU TAT SENG","FARMASI SENG [FARMASI SENG]","23A,Jalan Air Itam,11500,Air Itam,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.4041186,100.288343,"google"
"53",53,"PA0053/2021",23130,"SEAH CHUNG-YI","Mega Kulim Pharmacy Sdn Bhd","16,Lebuh Kurau 3, Taman Chai Leng,13700,Perai,Seberang Perai Tengah,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.3855573,100.3920302,"osm"
"54",54,"PA0054/2021",23131,"LOH JING YING","FIRST BIOFARM SDN. BHD.","6,Lorong Industri Ringan Permatang Tinggi 4, Kawasan Industri Ringan Permatang Tinggi,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3051599,100.4768815,"google"
"55",55,"PA0055/2021",23132,"CHOONG JIA YEN","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"56",56,"PA0056/2021",23133,"TAN ZI MIN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"57",57,"PA0057/2021",23134,"WONG CHOY FUN","Malaysian Pharmaceutical Industries Sdn Bhd","Plot 14,Lebuhraya Kampung Jawa,11900,Bayan Lepas,Barat Daya,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong",5.3178989,100.2951483,"google"
"58",58,"PA0058/2021",23135,"OH HOAY BENG @ LEE HOAY BENG","SUPERCARE PHARMACY [SUPERCARE PHARMACY]","17,Jalan Fettes,11200,Tanjong Bungah,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4512816,100.3050923,"google"
"59",59,"PA0059/2021",23136,"AMELIA KHAW WEI LI","Hospital Lam Wah Ee","No.141,Jalan Tan Sri Teh Ewe Lim,11600,Batu Lanchang,Timur Laut,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.3925887,100.3072535,"osm"
"60",60,"PA0060/2021",23137,"KANG YU XUAN","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","8 & 10,Jalan Bukit Minyak 3, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Runcit",5.3292558,100.4446663,"osm"
"61",61,"PA0061/2021",23138,"MOHAMMAD IRWAN BIN ISMAIL","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","No 7,,Jalan Usahawan 4, Pusat Perniagaan Kepala Batas,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","13/07/2021","Runcit",5.517095,100.432248,"google"
"62",62,"PA0062/2021",23139,"OOI KEE WEI","Prime Pharmaceutical Sdn. Bhd.","1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Tengah,Seberang Perai Tengah,Pulau Pinang","20/10/2020","1/1/2021","31/12/2021","","Borong",5.3367488,100.4365697,"google"
"63",63,"PA0063/2021",23140,"TAN BOON CHONG","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","3618,Jalan Che Ahmad,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.1687115,100.4779923,"osm"
"64",64,"PA0064/2021",23141,"TAN PONG KAU @ CHIN PHONG KAU","NUTRICHEM FARM SDN.BHD. [NUTRICHEM FARM SDN. BHD]","No.38,Jalan Paboi, Taman Merak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.2626632,100.4663754,"google"
"65",65,"PA0065/2021",23142,"ROZITA HANIM BINTI ABDUL RAHIM","HANIM RX PHARMACARE [FARMASI TAMAN PEKAKA]","No 2,Jalan Pekaka 1, Taman Pekaka,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.1420961,100.4902829,"google"
"66",66,"PA0066/2021",23143,"NG GEK HUANG","GR2 Farmasi Sdn Bhd [Green River Farmasi]","77,Jalan Terengganu,10460,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.4111569,100.3083354,"osm"
"67",67,"PA0067/2021",23144,"JAMES JOO JIN JIAN","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"68",68,"PA0068/2021",23145,"ANG LING LING","Farmasi Pauh Sdn Bhd [Farmasi Pauh Sdn Bhd]","89,Jalan Permatang Pauh,13500,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.4047265,100.4160936,"osm"
"69",69,"PA0069/2021",23146,"TAN HUI QI","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"70",70,"PA0070/2021",23147,"NGAN CHIN LEE","CHONG PHARMACY SDN BHD [FARMASI CHONG]","716,Jalan Juru, Taman Duku,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.3161812,100.4441619,"google"
"71",71,"PA0071/2021",23148,"KHONG WING SENG","BIOPHARMA LINK PHARMACY SDN BHD [BIOPHARMALINK PHARMACY]","488B-G15 & G16 MIDLANDS PARK CENTRE,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","17/06/2021","Runcit",5.4331508,100.3061405,"google"
"72",72,"PA0072/2021",23149,"OOI GAIK LENG","Hospital Lam Wah Ee","141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.3911772,100.3128964,"osm"
"73",73,"PA0073/2021",23150,"NG LE YU","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"74",74,"PA0074/2021",23151,"LOW HUEY THING","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","3618,Jalan Che Ahmad,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.1687115,100.4779923,"osm"
"75",75,"PA0075/2021",23152,"KOH SIU SIEN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"76",76,"PA0076/2021",23153,"LEE SZE WEI","WM CARING PHARMACY SDN BHD [CARING PHARMACY]","LOT G9 MYDIN MALL BUKIT MERTAJAM MUKIM 06,Jalan Baru,13600,Perai,Seberang Perai Tengah,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.3687104,100.414906,"google"
"77",77,"PA0077/2021",23154,"LOW BEE CHIAN","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","3332 & 3333,Jalan Perniagaan, Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Runcit",5.3338678,100.4814284,"google"
"78",78,"PA0078/2021",23155,"LAWRENCE KIING TECK HOWE","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","15/03/2021","Runcit",5.4328019,100.310157,"google"
"79",79,"PA0079/2021",23156,"TAN CHING SIANG","NI-ON MARKETING SYSTEM SDN. BHD [NI-ON MARKETING SYSTEM SDN. BHD]","1195,Jalan Perindustrian Bukit Minyak 7, Kawasan Perindustrian Bukit Minyak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3055526,100.4585248,"google"
"80",80,"PA0080/2021",23157,"LEE CHUI AI","SMHP (Malaysia) Sdn Bhd","Room 5,6,8 & 12A, 1st Floor, Tan Chong Building, 23A Weld Quay,Pengkalan Weld,10300,Georgetown,Timur Laut,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Borong",5.4144657,100.3415168,"google"
"81",81,"PA0081/2021",23158,"TEH CHIAW WOON","Questra Clinical Research Sdn Bhd","6,Jalan Desa Pauh, Taman Desa Pauh,13700,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang","21/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3782857,100.4188784,"google"
"82",82,"PA0082/2021",23159,"MAH CHOON LENG","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","6/2/2021","Borong & Runcit",5.4328019,100.310157,"google"
"83",83,"PA0083/2021",23160,"LIM SZE MAY","GR2 Pharmacy Sdn Bhd [Green River Farmasi]","4 G/F, Desa University Complex,Jalan Sungai DUa,11700,Sungai Dua,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.3527361,100.2986577,"google"
"84",84,"PA0084/2021",23161,"NG SIEW LAN","Desa Pharmacy Sdn Bhd","248,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.315097,100.4429121,"osm"
"85",85,"PA0085/2021",23162,"TAN YIH YANG","Asia Veterinary Sdn Bhd","2255,Jalan Persekutuan Bukit Minyak,14000,Bukit Minyak,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3230307,100.449104,"osm"
"86",86,"PA0086/2021",23163,"SHANDHIRA A/P UNE KRISHNAN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"87",87,"PA0087/2021",23164,"LAW CHUAN LIN","PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL]","570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.3685091,100.4414791,"osm"
