Bil.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
11,PA0011/2021,23082,LEAN CHUI CHAU,WELLINGS PILL HOUSE SDN BHD [GEORGETOWN PHARMACY],"20-1-3A, 05 & 06,Lintang Sungai Ara 7,11900,Bayan Lepas,Barat Daya,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,,Borong
12,PA0012/2021,23083,YANG WAN SZE,SUMMIT COMPANY (MALAYSIA) SDN BHD [SUMMIT COMPANY (M) SDN BHD],"No. 1161, Mukim 16,JALAN PERUSAHAAN SUNGAI LOKAN 3, KAWASAN PERUSAHAAN ACKU, BAGAN LALLANG,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,,Borong
13,PA0013/2021,23084,WONG SIEW KIM,Loh Guan Lye and Sons Sdn Bhd [Loh Guan Lye Specialists Centre],"19 & 21,Jalan Logan,10400,Georgetown,Timur Laut,Pulau Pinang",9/10/2020,1/1/2021,31/12/2021,30/06/2021,Runcit
14,PA0014/2021,23085,LUAH LAY KUN,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
15,PA0015/2021,23086,CHAI SUET HONG,LOH GUAN LYE & SONS SDN BHD [LOH GUAN LYE SPECIALIST CENTRE],"238,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
16,PA0016/2021,23087,LOW HOOI HIANG,Campbell Pharmacy Sdn Bhd [Campbell Pharmacy Sdn Bhd],"110,Campbell Street,10100,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
17,PA0017/2021,23088,LIM SIM YEE,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"100-LG-12B, Queensbay Mall,Persiaran Bayan Indah, Bayan Bay,11900,Bayan Lepas,Barat Daya,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
18,PA0018/2021,23089,HIA SIEW HONG,FARMASI BAGAN (BW) SDN BHD,"4845,Jalan Kampung Benggali,12200,Butterworth,Seberang Perai Utara,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
19,PA0019/2021,23091,ANG HUI QIN,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
20,PA0020/2021,23116,ONG WUEY CHEN,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"100-LG-12B,Queensbay Mall, Persiaran Bayan Indah,11900,Bayan Lepas,Barat Daya,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
21,PA0021/2021,23094,HONG KHAI SHIEN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
22,PA0022/2021,23095,GANESH RAO A/L SANNASI,Syarikat Tunas Pantai Sdn Bhd (Pantai Hospital Penang) [Pantai Hospital Penang],"82,Jalan Tengah,11900,Bayan Lepas,Barat Daya,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,29/01/2021,Borong & Runcit
23,PA0023/2021,23096,TEOH KEANG NAM,FARMASI NAM,"1137,Jalan Padang Kelab,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
24,PA0024/2021,23097,YEOH HEE HUA,A-REMEDY PHARMACY SDN BHD [Farmasi A-Remedy],"3089,Jalan Rohzan, Taman Rohzan,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
25,PA0025/2021,23098,SIM CHEE HWA,SIM PHARMACY [FARMASI SIM],"19A,Lintang Angsana, Bandar Baru Air Itam,11500,Air Itam,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
26,PA0026/2021,23099,CHONG QUEK FONG,Desa Pharmacy Sdn Bhd,"248,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
27,PA0027/2021,23100,LILLIAN TAN YONG-ERN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",14/10/2020,1/1/2021,31/12/2021,,Runcit
28,PA0028/2021,23101,TAN SOO THENG,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
29,PA0029/2021,23102,SITI NABILA BINTI NASIR,HUSNI PHARMACY SDN BHD [FARMASI SRI PENANTI],"NO 114 MUKIM 20,Penanti,14400,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
30,PA0030/2021,23103,HO NEE LICK @ HO NEE MING,KAMI FARMING SDN BHD,"PLOT 178,Lorong Perindustrian Bukit Minyak 17, Kawasan Perindustrian Bukit Minyak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong
31,PA0031/2021,23107,JASMINE DARYL RAJ A/P JOHN RAJ,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
32,PA0032/2021,23108,ANG PUEK GEOK,BOON PHARMACY SDN BHD [BOON PHARMACY SDN BHD],"184,Campbell Street,10100,Georgetown,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
33,PA0033/2021,23109,LIM EE WEN,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
34,PA0034/2021,23110,NURHUSNI BINTI MAHAD NOR,Husni Pharmacy Sdn Bhd [Farmasi Sri Penanti],"No 114,Jalan Kubang Semang Mk.20,14400,Kubang Semang,Seberang Perai Tengah,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
35,PA0035/2021,23111,CHAN MING SEE,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Runcit
36,PA0036/2021,23112,KENNETH HO KIAN KEET,INFO KINETICS SDN BHD,"NO. 1, 5TH FLOOR,Jalan Pangkor, Gleneagles Penang,10050,Georgetown,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
37,PA0037/2021,23113,OOI ZHI ANG,DYNAPHARM (M) SDN BHD,"2497, MK 1,Lorong Perusahaan Baru 5, Kawasan Perusahaan Perai 3,13600,Perai,Seberang Perai Tengah,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong
38,PA0038/2021,23114,FONG KAM HOI,Izuhan Pharmacy Sdn Bhd [Izuhan Pharmacy Sdn Bhd],"No. 94,Campbell Street,10460,Georgetown,Timur Laut,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
39,PA0039/2021,23115,GOH EE JYE,Winwa Medical Sdn. Bhd. [Winwa Medical Sdn. Bhd.],"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",15/10/2020,1/1/2021,31/12/2021,,Borong
40,PA0040/2021,23117,FREEDA THEAN SIEW YUIN,WINWA MEDICAL SDN BHD,"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong
41,PA0041/2021,23118,CHUA KONG SEENG,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
42,PA0042/2021,23119,MOOI SHEE WEEN,Pulau Pinang Clinic Sdn Bhd [Gleneagles Penang],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
43,PA0043/2021,23120,LAW YIK CHAO,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
44,PA0044/2021,23121,KHAIRUL AZMAN BIN SALEH,FARMASI SUNGAI DUA JAYA SDN BHD [FARMASI SUNGAI DUA],"30,Lorong Perniagaan, Pusat Perniagaan Sungai Dua,13800,Butterworth,Seberang Perai Utara,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
45,PA0045/2021,23122,LIM SOOK KEN @ LUM SOOK KEN,FARMASI MY-CHEMIST (KG BARU) SDN BHD,"2828, Tingkat Bawah,Jalan Kampung Baru, Taman Tampoi,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
46,PA0046/2021,23123,KHOR BOON KUANG,Medic Care Pharmacy [Medic Care Pharmacy],"87, Ground Floor, Lorong 22/SS 1,Bandar Tasek Mutiara,14120,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
47,PA0047/2021,23124,NG JUN YI,GR2 PHARMACY SDN BHD [GREEN RIVER PHARMACY],"43-1,Lintang Batu Maung,11960,Batu Maung,Barat Daya,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
48,PA0048/2021,23125,ANG SAI YIM,FARMASI ANG & ANG [FARMASI ANG & ANG],"25,Jalan Kendi, Taman Merak Jaya,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
49,PA0049/2021,23126,HEANG SEW FOONG,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
50,PA0050/2021,23127,TEH KEE KEAT,FARMASI JACKSON [FARMASI JACKSON],"A-G-9,Lintang Batu Maung 4,11960,Batu Maung,Barat Daya,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
51,PA0051/2021,23128,CHOI KOK SENG,FARMASI EXCARE [FARMASI EXCARE],"137,Jalan Padang Kelab,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
52,PA0052/2021,23129,LAU TAT SENG,FARMASI SENG [FARMASI SENG],"23A,Jalan Air Itam,11500,Air Itam,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
53,PA0053/2021,23130,SEAH CHUNG-YI,Mega Kulim Pharmacy Sdn Bhd,"16,Lebuh Kurau 3, Taman Chai Leng,13700,Perai,Seberang Perai Tengah,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
54,PA0054/2021,23131,LOH JING YING,FIRST BIOFARM SDN. BHD.,"6,Lorong Industri Ringan Permatang Tinggi 4, Kawasan Industri Ringan Permatang Tinggi,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
55,PA0055/2021,23132,CHOONG JIA YEN,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
56,PA0056/2021,23133,TAN ZI MIN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
57,PA0057/2021,23134,WONG CHOY FUN,Malaysian Pharmaceutical Industries Sdn Bhd,"Plot 14,Lebuhraya Kampung Jawa,11900,Bayan Lepas,Barat Daya,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong
58,PA0058/2021,23135,OH HOAY BENG @ LEE HOAY BENG,SUPERCARE PHARMACY [SUPERCARE PHARMACY],"17,Jalan Fettes,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
59,PA0059/2021,23136,AMELIA KHAW WEI LI,Hospital Lam Wah Ee,"No.141,Jalan Tan Sri Teh Ewe Lim,11600,Batu Lanchang,Timur Laut,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
60,PA0060/2021,23137,KANG YU XUAN,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"8 & 10,Jalan Bukit Minyak 3, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Runcit
61,PA0061/2021,23138,MOHAMMAD IRWAN BIN ISMAIL,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"No 7,,Jalan Usahawan 4, Pusat Perniagaan Kepala Batas,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,13/07/2021,Runcit
62,PA0062/2021,23139,OOI KEE WEI,Prime Pharmaceutical Sdn. Bhd.,"1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Tengah,Seberang Perai Tengah,Pulau Pinang",20/10/2020,1/1/2021,31/12/2021,,Borong
63,PA0063/2021,23140,TAN BOON CHONG,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"3618,Jalan Che Ahmad,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
64,PA0064/2021,23141,TAN PONG KAU @ CHIN PHONG KAU,NUTRICHEM FARM SDN.BHD. [NUTRICHEM FARM SDN. BHD],"No.38,Jalan Paboi, Taman Merak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
65,PA0065/2021,23142,ROZITA HANIM BINTI ABDUL RAHIM,HANIM RX PHARMACARE [FARMASI TAMAN PEKAKA],"No 2,Jalan Pekaka 1, Taman Pekaka,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
66,PA0066/2021,23143,NG GEK HUANG,GR2 Farmasi Sdn Bhd [Green River Farmasi],"77,Jalan Terengganu,10460,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
67,PA0067/2021,23144,JAMES JOO JIN JIAN,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
68,PA0068/2021,23145,ANG LING LING,Farmasi Pauh Sdn Bhd [Farmasi Pauh Sdn Bhd],"89,Jalan Permatang Pauh,13500,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
69,PA0069/2021,23146,TAN HUI QI,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
70,PA0070/2021,23147,NGAN CHIN LEE,CHONG PHARMACY SDN BHD [FARMASI CHONG],"716,Jalan Juru, Taman Duku,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
71,PA0071/2021,23148,KHONG WING SENG,BIOPHARMA LINK PHARMACY SDN BHD [BIOPHARMALINK PHARMACY],"488B-G15 & G16 MIDLANDS PARK CENTRE,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,17/06/2021,Runcit
72,PA0072/2021,23149,OOI GAIK LENG,Hospital Lam Wah Ee,"141,Jalan Tan Sri Teh Ewe Lim,11600,Jelutong,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
73,PA0073/2021,23150,NG LE YU,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
74,PA0074/2021,23151,LOW HUEY THING,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"3618,Jalan Che Ahmad,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
75,PA0075/2021,23152,KOH SIU SIEN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
76,PA0076/2021,23153,LEE SZE WEI,WM CARING PHARMACY SDN BHD [CARING PHARMACY],"LOT G9 MYDIN MALL BUKIT MERTAJAM MUKIM 06,Jalan Baru,13600,Perai,Seberang Perai Tengah,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
77,PA0077/2021,23154,LOW BEE CHIAN,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"3332 & 3333,Jalan Perniagaan, Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Runcit
78,PA0078/2021,23155,LAWRENCE KIING TECK HOWE,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,15/03/2021,Runcit
79,PA0079/2021,23156,TAN CHING SIANG,NI-ON MARKETING SYSTEM SDN. BHD [NI-ON MARKETING SYSTEM SDN. BHD],"1195,Jalan Perindustrian Bukit Minyak 7, Kawasan Perindustrian Bukit Minyak,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
80,PA0080/2021,23157,LEE CHUI AI,SMHP (Malaysia) Sdn Bhd,"Room 5,6,8 & 12A, 1st Floor, Tan Chong Building, 23A Weld Quay,Pengkalan Weld,10300,Georgetown,Timur Laut,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Borong
81,PA0081/2021,23158,TEH CHIAW WOON,Questra Clinical Research Sdn Bhd,"6,Jalan Desa Pauh, Taman Desa Pauh,13700,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang",21/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
82,PA0082/2021,23159,MAH CHOON LENG,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,6/2/2021,Borong & Runcit
83,PA0083/2021,23160,LIM SZE MAY,GR2 Pharmacy Sdn Bhd [Green River Farmasi],"4 G/F, Desa University Complex,Jalan Sungai DUa,11700,Sungai Dua,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
84,PA0084/2021,23161,NG SIEW LAN,Desa Pharmacy Sdn Bhd,"248,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
85,PA0085/2021,23162,TAN YIH YANG,Asia Veterinary Sdn Bhd,"2255,Jalan Persekutuan Bukit Minyak,14000,Bukit Minyak,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
86,PA0086/2021,23163,SHANDHIRA A/P UNE KRISHNAN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
87,PA0087/2021,23164,LAW CHUAN LIN,PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
88,PA0088/2021,23165,LEE YAU CHEW,MEGAMAL PHARMACY SDN BHD [MEGAMAL PHARMACY SDN BHD],"1-G,Jalan Lenggong, Vantage Point,11600,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
89,PA0089/2021,23166,DEREK MOON WENG CHEE,FUJI ACRE SDN. BHD. [CARING PHARMACY ],"LOT 163D-LG-01B,Gurney Paragon Mall, Persiaran Gurney,10250,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
90,PA0090/2021,23167,OOI CHYN DEE,SRI RAMBAI PHARMACY SDN BHD [SRI RAMBAI PHARMACY SDN BHD],"58,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
91,PA0091/2021,23168,TENG CHIA CHIA,GR2 Pharmacy Sdn. Bhd. [Green River Pharmacy],"4 (Ground Floor),China Street,10200,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
92,PA0092/2021,23169,THO PUI CHEE,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
93,PA0093/2021,23170,KHOO SZE LING,WELLINGS PILL HOUSE SDN BHD [GEORGETOWN PHARMACY],"20-1-3A, 05 & 06,Lintang Sungai Ara 7,11900,Bayan Lepas,Barat Daya,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Borong
94,PA0094/2021,23171,CHEN YIN HUAY,Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi],"215,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
95,PA0095/2021,23172,LIEW YING HOOI,ZUELLIG PHARMA SDN BHD,"119A,Jalan Makloom,10150,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,17/03/2021,Borong
96,PA0096/2021,23173,MOHD RIDZUAN BIN MOHD SHUKRI,PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
97,PA0097/2021,23174,LEE MAY LAI,GR2 Pharmacy Sdn. Bhd. [Green River Pharmacy],"4 (Ground Floor),China Street,10200,Georgetown,Timur Laut,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,28/04/2021,Borong & Runcit
98,PA0098/2021,23175,LOW SU SYEAN,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"NO 37,Jalan Todak 6 Pusat Komersial Sunway Perdana,13700,Seberang Jaya,Seberang Perai Tengah,Pulau Pinang",26/10/2020,1/1/2021,31/12/2021,,Runcit
99,PA0099/2021,23181,LIM HOOI SZE,Farmasi ANC Permai [Farmasi ANC Permai],"52,Jalan Kota Permai, Taman Kota Permai,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
100,PA0100/2021,23182,ADANAN BIN NAYAN,AAA BIOTECH SDN BHD,"118,Jalan Star Avenue, Pusat Perniagaan Star Avenue,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
101,PA0101/2021,23183,ONG TENG YEN,AM PM PHARMACY SDN BHD,"421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
