il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
16,AA0016/2021,17098,LOO HENG HOE,Paloh Medical Centre Sdn. Bhd. [Pantai Hospital Ipoh],"126,Jalan Tambun,31400,Ipoh,Kinta,Perak",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
17,AA0017/2021,17097,HENG AIK LENG,Yin Woh Tong Medical Supplies Sdn Bhd,"No.136-138,Jalan Sultan Iskandar,,30000,Ipoh,Kinta,Perak",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
18,AA0018/2021,17096,CHEAH SOON VEE,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"No.121,Jalan Dato Lau Pak Khuan, Taman Ipoh,31400,Ipoh,Kinta,Perak",14/10/2020,1/1/2021,31/12/2021,,Runcit
19,AA0019/2021,17095,MUHAMMAD SYAFIQ BIN CHE ABDULLAH,IDAMAN PHARMA MANUFACTURING SDN. BHD.,"LOT. 120,Taman Farmaseutikal, Bandar Baru Seri Iskandar,32610,Seri Iskandar,Perak Tengah,Perak",14/10/2020,1/1/2021,31/12/2021,,Borong
20,AA0020/2021,17094,LEE JING LENG,Farmasi Yin Onn (Teluk Intan) Sdn Bhd [Farmasi Yin Onn],"79,Jalan Raja,36000,Teluk Intan,Hilir Perak,Perak",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
21,AA0021/2021,17101,CHING LAI YEE,Guardian Health and Beauty Sdn Bhd,"Lot G09, AEON Co. (M) Berhad,Susuran Stesen 18, Station 18,31650,Ipoh,Kinta,Perak",16/10/2020,1/1/2021,31/12/2021,,Runcit
22,AA0022/2021,17100,WON FOO YEE,NAM PHARMA SDN. BHD.,"5,Lebuh Perusahaan Klebang 11, Taman Perindustrian Antarabangsa IGB,31200,Chemor,Kinta,Perak",16/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
23,AA0023/2021,17099,WONG TECK ONN,Apex Pharmacy Marketing Sdn Bhd,"2, 4, 4A, 6, 8 & 10,Medan Bendahara 2, Medan Bendahara,31650,Ipoh,Kinta,Perak",16/10/2020,1/1/2021,31/12/2021,,Borong
24,AA0024/2021,17102,ANG THIAM HUAT,Medsons Pharmacy Sdn. Bhd.,"17,Jalan Besar,35500,Bidor,Batang Padang,Perak",16/10/2020,1/1/2021,31/12/2021,,Runcit
25,AA0025/2021,17103,KONG JEE PHANG,FRIENDS PHARMACY SDN BHD,"62,Taman Aman,31100,Sungai Siput,Kuala Kangsar,Perak",16/10/2020,1/1/2021,31/12/2021,,Runcit
26,AA0026/2021,17104,NUR AFIQAH BINTI ISMAIL,ILMAN PHARMACARE [FARMASI ILMAN PHARMACARE],"NO 11, Rumah Kedai PKNP,Jalan Besar, Pekan Bota Kanan,32600,Bota Kanan,Perak Tengah,Perak",16/10/2020,1/1/2021,31/12/2021,,Runcit
27,AA0027/2021,17105,UMI HANI BINTI MOHD ASMAWI,Yes Good Pharmacy,"40,Jalan Lumut Indah, Taman Lumut Indah,32200,Lumut,Manjung,Perak",16/10/2020,1/1/2021,31/12/2021,,Runcit
28,AA0028/2021,17109,ANG SIEN LEE,Paloh Medical Centre Sdn. Bhd. [Pantai Hospital Ipoh],"126,Jalan Tambun,31400,Ipoh,Kinta,Perak",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
29,AA0029/2021,17110,YIT TUCK LEONG,EZY PILLS PHARMACY,"36 & 36A,Persiaran Rapat Baru 20 Taman Song Choon,31350,Ipoh,Kinta,Perak",20/10/2020,1/1/2021,31/12/2021,,Runcit
30,AA0030/2021,17111,LIZA THONG LIEW YING,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot G02, Ground Floor, AEON Co.(M) Sdn Bhd, No.2,Susuran Stesen 18, Station 18,31650,Ipoh,Kinta,Perak",20/10/2020,1/1/2021,31/12/2021,,Runcit
31,AA0031/2021,17112,MUAZ BIN AB HAMID PAHMI,FARMASI TAPAH,"25,Jalan Baldwin, Pusat Perniagaan Baldwin,35000,Tapah,Batang Padang,Perak",20/10/2020,1/1/2021,31/12/2021,,Runcit
32,AA0032/2021,17113,MAIZATUL BINTI ZAINAL ABIDDIN,FARMASI UMMAIZA,"148,Tingkat Bawah,Bangunan PKNP,Jalan Besar,34300,Bagan Serai,Kerian,Perak",20/10/2020,1/1/2021,31/12/2021,,Runcit
33,AA0033/2021,17114,WONG CHEE SIAN,ENG SENG TONG MEDICAL HALL,"86,Jalan Teh Peh Kong,34200,Parit Buntar,Kerian,Perak",21/10/2020,1/1/2021,31/12/2021,,Runcit
34,AA0034/2021,17115,ABDUL NASSIR BIN MAT DANI,T.TOWN HEALTH CENTRE,"No.17,Jalan Bandar,36000,Teluk Intan,Hilir Perak,Perak",21/10/2020,1/1/2021,31/12/2021,,Runcit
35,AA0035/2021,17116,LOW WAI HON,CARING PHARMACY SDN. BHD. [CARING PHARMACY],"7,Persiaran Bercham Selatan 10, Taman Desa Kencana,31400,Ipoh,Kinta,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
36,AA0036/2021,17117,ONG SIAO KUAN,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"No.121,Jalan Dato Lau Pak Khuan, Taman Ipoh,31400,Ipoh,Kinta,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
37,AA0037/2021,17118,WOO CHUI TING,Kedai Farmasi Ang Teong,"14,Jalan Selat,36000,Teluk Intan,Hilir Perak,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
38,AA0038/2021,17119,HOE CHUI YING,Mega Kulim Pharmacy Sdn Bhd,"GF 53,Persiaran Shahbandar, Pusat Bandar Baru,34200,Parit Buntar,Kerian,Perak",23/10/2020,1/1/2021,31/12/2021,5/5/2021,Runcit
39,AA0039/2021,17120,TAN JYE YEE @ CHAN JYE YEE,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot G38, Ground Floor, Ipoh Parade, No.105,Jalan Sultan Abdul Jalil,30450,Ipoh,Kinta,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
40,AA0040/2021,17121,CHAN YUHAN,Mega Kulim Pharmacy Sdn Bhd,"GF 53,Persiaran Shahbandar, Pusat Bandar Baru,34200,Parit Buntar,Kerian,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
41,AA0041/2021,17122,KHO GUAN HOCK,Kedai Farmasi Ang Teong,"14,Jalan Selat,36000,Teluk Intan,Hilir Perak,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
42,AA0042/2021,17123,LEE MIN SHEN,FARMASI LEE MS,"12,Jalan Sultan Abdullah, Taman Ros,36000,Teluk Intan,Hilir Perak,Perak",23/10/2020,1/1/2021,31/12/2021,5/5/2021,Runcit
43,AA0043/2021,17124,TUNG PEI KUAM,Guardian Health and Beauty Sdn Bhd,"No.4 & 6,Jalan Kangsar,33000,Kuala Kangsar,Kuala Kangsar,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
44,AA0044/2021,17125,KEE SWEE LUAN,FARMASI LEE MS,"12,Jalan Sultan Abdullah, Taman Ros,36000,Teluk Intan,Hilir Perak,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
45,AA0045/2021,17126,NUR AZMANI BIN IDRIS MOHAMED,Medi Caliph [Farmasi Medi Caliph],"2,Jalan Besar Baru,35600,Sungkai,Batang Padang,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
46,AA0046/2021,17127,SASHITHARAN A/L SUBRAMANIAM,FARMASI ARIES,"6A,Jalan Labrooy,30100,Ipoh,Kinta,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
47,AA0047/2021,17128,PHANG CHEE KIAT,FARMASI HELKEN,"NO.35,Jalan Raja,36000,Teluk Intan,Hilir Perak,Perak",23/10/2020,1/1/2021,31/12/2021,,Runcit
48,AA0048/2021,17129,MOHAMAD SOLIHEEN BIN MOHD .ZAKI,FARMASI AL FALAH,"122,Hala Desa Pantai 1, Taman Desa Pantai II,34900,Pantai Remis,Manjung,Perak",27/10/2020,1/1/2021,31/12/2021,,Runcit
49,AA0049/2021,17130,HASIMAH BINTI HASHIM,FARMASI KAUTHAR,"NO. 4,Bangunan Koperasi Bersatu,33100,Pengkalan Hulu,Hulu Perak,Perak",27/10/2020,1/1/2021,31/12/2021,,Runcit
50,AA0050/2021,17131,SOONG LAI LENG,Guardian Health and Beauty Sdn Bhd,"Lot G39A, Ground Floor, Ipoh Parade,Jalan Sultan Abdul Jalil,30450,Ipoh,Kinta,Perak",27/10/2020,1/1/2021,31/12/2021,,Runcit
51,AA0051/2021,17132,MAZLAN BIN MOHAMMAD,Bagan Serai Pharmacy Sdn. Bhd.,"No 16,Jalan Harmoni, Pusat Bandar Bagan Serai,34300,Bagan Serai,Kerian,Perak",27/10/2020,1/1/2021,31/12/2021,,Runcit
52,AA0052/2021,17133,CHING YAN YEE,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"691, Jalan Gunung Rapat,Main Road Gunung Rapat,31350,Ipoh,Kinta,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
53,AA0053/2021,17134,BAHIJAH BINTI IBRAHIM,Bagan Serai Pharmacy Sdn. Bhd.,"No 16,Jalan Harmoni, Pusat Bandar Bagan Serai,34300,Bagan Serai,Kerian,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
54,AA0054/2021,17135,CHONG HUI XIN,HTM PHARMACY (BOTANI) SDN BHD,"8,Jalan Lapangan Siber 10, Bandar Cyber Ipoh,31350,Ipoh,Kinta,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
55,AA0055/2021,17136,TUNG MUN YEE,KAMPAR MEDICAL SUPPLIES (M) SDN BHD,"No.34,Jalan Idris,31900,Kampar,Kampar,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
56,AA0056/2021,17137,CHEW SEAW WEI,FARMASI SITIAWAN SDN BHD,"2448,Taman Samudera,32040,Seri Manjung,Manjung,Perak",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
57,AA0057/2021,17165,ONG WEI MIN,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot G38, Ground Floor, Ipoh Parade, No.105,Jalan Sultan Abdul Jalil,30450,Ipoh,Kinta,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
58,AA0058/2021,17139,NUR HIDA BINTI MOHAMAD RODZI,Slim Pharmacy Sdn Bhd,"No.5, PT 1967,Jalan Mahsuri, Taman Slim Indah.,35800,Slim River,Muallim,Perak",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
59,AA0059/2021,17140,CAROLINE CHEW,FARMASI BERCHAM,"NO.12,Persiaran Bercham Selatan 8, Taman Desa Kencana,31400,Ipoh,Kinta,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
60,AA0060/2021,17141,HONG AH MING,E.V.CARE PHARMACY SDN BHD,"NO. 8,Taman Teratai,32000,Sitiawan,Manjung,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
61,AA0061/2021,17142,IKHWAN IQBAL BIN ZULKEFLI,FARMASI TASEK RABAN SDN. BHD.,"41,Jalan Besar,33400,Lenggong,Hulu Perak,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
62,AA0062/2021,17143,MOHAMAD BIN MD DESA,FARMASI AN-NUR,"18 BANGUNAN KOPERASI,Jalan Iskandar,33100,Pengkalan Hulu,Hulu Perak,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
63,AA0063/2021,17144,HAIRUNIZA BINTI MOHD PADIL,FARMASI SITIAWAN SDN BHD,"No.72,Persiaran PM/1, Pusat Bandar Seri Manjung,32040,Seri Manjung,Manjung,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
64,AA0064/2021,17145,KAM SIEW PING,NAM Trading (Ipoh) Sdn. Bhd.,"92,Jalan Tasek Timur, Taman Tasek Indra,31400,Ipoh,Kinta,Perak",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
65,AA0065/2021,17146,KHAIRIATUL ADHIYYAH BINTI MAT ZEN,NURUL PHARMACARE (FARMASI NURUL),"No.32,,Susur Kay Long,31600,Gopeng,Kampar,Perak",30/10/2020,1/1/2021,31/12/2021,,Runcit
66,AA0066/2021,17147,NORHALIZA BINTI MOHAMED NOORI,IDAMAN PHARMA MANUFACTURING SDN. BHD.,"LOT. 120,Taman Farmaseutikal, Bandar Baru Seri Iskandar,32610,Seri Iskandar,Perak Tengah,Perak",30/10/2020,1/1/2021,31/12/2021,,Borong
67,AA0067/2021,17148,TAN LEE SEE,FARMASI FMB SDN BHD [FARMASI MENGLEMBU BARU],"55 & 57,Persiaran Kledang Timur 21, Bandar Baru Menglembu,31450,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
68,AA0068/2021,17149,NORAFIDAH BINTI ADANAN,Gracious Pharmacy Sdn Bhd [Slim Pharmacy],"No. 5,Jalan Intan Setia 1, Taman Intan Setia,35900,Tanjung Malim,Muallim,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
69,AA0069/2021,17150,MUNIAMAH A/P YATTERYER,BAN CHOON CHAN TRADING,"109,Jalan Besar,31000,Batu Gajah,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
70,AA0070/2021,17151,ISHAK BIN AHMAD,Farmasi Indah,"A 7 & 8,Aked MARA,33300,Gerik,Hulu Perak,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
71,AA0071/2021,17152,LEE TOCK KHIAN,FARMASI FMB SDN BHD [FARMASI MENGLEMBU BARU],"55 & 57,Persiaran Kledang Timur 21, Bandar Baru Menglembu,31450,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
72,AA0072/2021,17153,JUMAIAAH BINTI AHMAD,Farmasi Utama,"No.7A,Jalan Perdana 7, Pusat Perniagaan Slim Perdana,35800,Slim River,Muallim,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
73,AA0073/2021,17154,OH CHIEW BOON,Farmasi Tiara Ipoh Sdn Bhd,"No.31-31A,Jalan Sultan Azlan Shah Utara, Taman Ipoh Selatan,31400,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
74,AA0074/2021,17155,NG JIA YING,HTM PHARMACY (BOTANI) SDN BHD,"8,Jalan Lapangan Siber 10, Bandar Cyber Ipoh,31350,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
75,AA0075/2021,17156,HOONG WUAN LEIK,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"691, Jalan Gunung Rapat,Main Road Gunung Rapat,31350,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
76,AA0076/2021,17157,YEOH POH TIANG,E & C PHARMACY,"10,Taman Selamat, Jalan Raja Omar,32000,Sitiawan,Manjung,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
77,AA0077/2021,17158,KONG HO KEE,HEALTH MATE PHARMACY SDN BHD,"106,Jalan Idris,31900,Kampar,Kampar,Perak",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
78,AA0078/2021,17159,NURUL HIDAYAH BINTI AMINUDIN,NURUL PHARMACARE (FARMASI NURUL),"No.32,,Susur Kay Long,31600,Gopeng,Kampar,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
79,AA0079/2021,17160,NG KAI YEONG,HEALTH MATE PHARMACY SDN BHD,"106,Jalan Idris,31900,Kampar,Kampar,Perak",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
80,AA0080/2021,17161,NOOR MAZLINA BINTI IBRAHIM,TANJONG HEALTHCARE,"28,Jalan Stesyen,31250,Tanjung Rambutan,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
81,AA0081/2021,17162,ALLAN MATHEWS,GLOBAL INTEGRATED TRAINING ASSOCIATES SDN BHD [QUEST PHARMACY],"227, Plaza Teh Teng Seng (Level 4),Jalan Raja Permaisuri Bainun,30250,Ipoh,Kinta,Perak",2/11/2020,1/1/2021,31/12/2021,,Runcit
82,AA0082/2021,17166,WONG CHUI TING,HTM PHARMACY (SITIAWAN) SDN BHD,"29,Jalan Raja Omar, Taman Setia,32000,Sitiawan,Manjung,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
83,AA0083/2021,17167,FATHUL ILHAM BIN FAEZAN,ILHAM PHARMACARE,"3,Jalan Dewangsa,31000,Batu Gajah,Kinta,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
84,AA0084/2021,17168,KOO KA LIM @ KOO KAREN,Watson's Personal Care Stores Sdn Bhd,"Lot G10, AEON Co.(M) Berhad, No.2,Susuran Stesen 18, Station 18,31650,Ipoh,Kinta,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
85,AA0085/2021,17169,LING KAR WEY,HTM PHARMACY (SITIAWAN) SDN.BHD,"29,Jalan Raja Omar,32000,Sitiawan,Manjung,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
86,AA0086/2021,17170,MOHD IDRIS BIN ZAKARIA,Medecine Holdings Sdn Bhd,"No. 125,Jalan Taming Sari,34000,Taiping,Larut, Matang & Selama,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
87,AA0087/2021,17171,MOHD AZLAN BIN MOHD MUKHTAR,FARMASI TANJUNG MALIM,"NO 6G,Jalan Douglas,35900,Tanjung Malim,Muallim,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
88,AA0088/2021,17172,TESA BINTI SAPAR,Farmasi Tesa,"No.90, Tingkat Bawah,Persiaran Prima satu, Kuala Kangsar Prima,33000,Kuala Kangsar,Kuala Kangsar,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
89,AA0089/2021,17173,LAM FOOK QUAN,IPOH SPECIALIST HOSPITAL SDN BHD,"No.26,Jalan Raja Dihilir,30350,Ipoh,Kinta,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
90,AA0090/2021,17174,AMIE SYAHRINA BINTI AHMAD SHAFAWI,Medi Bagan Serai Sdn Bhd,"NO(1) LOT 288,Jalan Lumut,32000,Sitiawan,Manjung,Perak",9/11/2020,1/1/2021,31/12/2021,,Borong
91,AA0091/2021,17175,LAU CHOY HA,The Perak Chinese Maternity Association [Perak Community Specialist Hospital],"No.277,Jalan Raja Permaisuri Bainun,30250,Ipoh,Kinta,Perak",9/11/2020,1/1/2021,31/12/2021,19/05/2021,Runcit
92,AA0092/2021,17176,NUR SYAFINAUMIERA BINTI KAMSAN,AL AUF HEALTHCARE,"15,Dataran Perpaduan 1 Taman Bercham Raya,31150,Ulu Kinta,Kinta,Perak",9/11/2020,1/1/2021,31/12/2021,,Runcit
93,AA0093/2021,17177,AZHAR BIN NAJUDDIN,Medi Chem Pharmacy,"77,Persiaran Sengat Baru 2, Taman Bersatu,31300,Simpang Pulai,Kinta,Perak",10/11/2020,1/1/2021,31/12/2021,,Runcit
94,AA0094/2021,17179,TAN TYZZ MEY,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"NO.15,Jalan Medan Kamunting 1, Medan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",15/11/2020,1/1/2021,31/12/2021,,Runcit
95,AA0095/2021,17180,CHOW YOONG WAH,Watson's Personal Care Stores Sdn Bhd,"Lot F7, 1st Floor, Kinta City Shopping Centre,Jalan Teh Lean Swee,31400,Ipoh,Kinta,Perak",15/11/2020,1/1/2021,31/12/2021,,Runcit
96,AA0096/2021,17181,LIM ER YUIN,Watson's Personal Care Stores Sdn Bhd,"Lot F7, 1st Floor, Kinta City Shopping Centre,Jalan Teh Lean Swee,31400,Ipoh,Kinta,Perak",15/11/2020,1/1/2021,31/12/2021,,Runcit
97,AA0097/2021,17182,DAZIANA AZNI BINTI ABDUL GHAFAR,FARMASI IKHWAN,"No.11,Jalan Rapat Bistari 1, Taman Rapat Bistari,31350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
98,AA0098/2021,17183,OH MEI ING,SEJATI HEALTHCARE SDN. BHD.,"13A, TAMAN PANTAI MAKMUR 2,Jalan Pantai Makmur 2/1,34900,Pantai Remis,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
99,AA0099/2021,17184,WONG SIEM SING,JS Healthcare Pharmacy Sdn Bhd,"No.31,Jalan Sentosa 4, Medan Seri Sentosa,32400,Ayer Tawar,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
100,AA0100/2021,17185,MUHAMMAD AIZAT BIN KHODUS,FARMASI ISIHAT SDN BHD,"No.144,Jalan PPMP 9, Pusat Perniagaan Manjung Point 1,,32040,Seri Manjung,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
101,AA0101/2021,17186,THILOSHINI A/P ASUKUMAR,Wykon Medical Sdn Bhd,"No. 177,Jalan Besar,31100,Sungai Siput,Kuala Kangsar,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
102,AA0102/2021,17187,SALASIAH BINTI TAJUDDIN,ILHAM PHARMACARE,"3,Jalan Dewangsa,31000,Batu Gajah,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
103,AA0103/2021,17188,TING TZE CHERN,Farmasi Hing Sdn Bhd,"No.2 & 3,Off Jalan Tazali, Jalan Lumut,32000,Sitiawan,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
104,AA0104/2021,17189,CHE MAZLAN BIN CHE ROMLI,CMZ JAYA [FARMASI CMZ JAYA],"NO. 194,Jalan PPMP 10, Pusat Perniagaan Manjung Point 1,,32040,Seri Manjung,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
105,AA0105/2021,17190,TEOW CHAI LOONG,Farmasi Intan,"11,Jalan Temenggong 2, Pusat Bandar Parit Buntar,34200,Parit Buntar,Kerian,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
106,AA0106/2021,17191,CHUAH SHU PYNG,Watson's Personal Care Stores Sdn Bhd,"Lot 17 & 18, Tesco Jalan Jambu,Jalan Jambu, Taman Teh Teng Seng,31400,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
107,AA0107/2021,17192,CHONG TZE WEI,HTM PHARMACY (SITIAWAN) SDN.BHD,"29,Jalan Raja Omar,32000,Sitiawan,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
108,AA0108/2021,17193,YEONG LAI YENG,Quinpharm (M) Sdn Bhd,"662-664,Jalan Pasir Puteh,31650,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
109,AA0109/2021,17194,TAN BOON LI,Quinpharm (M) Sdn Bhd,"662-664,Jalan Pasir Puteh,31650,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
110,AA0110/2021,17195,ONG CHIN SENG,ALLIANCE PHARMACY,"26,Jalan Sungai Batu,34900,Pantai Remis,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,30/06/2021,Borong & Runcit
111,AA0111/2021,17196,KUMUTHA A/P MANIMARAN,The Perak Chinese Maternity Association [Perak Community Specialist Hospital],"No.277,Jalan Raja Permaisuri Bainun,30250,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
